id,latitude,longitude
38246,34.69227778,-87.51738889
38247,34.97402778,-87.36155556
38248,34.63138889,-87.65222222
38249,34.57636111,-87.95591667
38250,34.76186111,-88.10083333
8198,34.33583333,-86.28388889
8201,34.66769444,-86.34180556
15886,31.10097222,-85.34919444
15888,31.12447222,-85.10430556
15889,31.54944444,-85.71733333
15890,31.4805,-85.46622222
15891,31.25219444,-85.62602778
15892,31.23327778,-85.71466667
15893,31.30108333,-85.10580556
15894,31.55583333,-85.55844444
13491,33.21544444,-85.41066667
13490,33.11338889,-85.56661111
13489,33.42205556,-85.55227778
13488,33.17583333,-85.89111111
13487,33.61066667,-86.15238889
13486,33.64333333,-85.50233333
13485,33.6425,-85.63472222
13484,33.24866667,-86.35352778
13483,33.19944444,-86.30111111
14955,34.66691667,-86.64319444
14956,34.35952778,-86.38847222
14957,34.62519444,-86.89772222
14958,34.178,-86.30172222
14959,34.95366667,-86.88358333
14960,34.52844444,-86.30736111
14961,34.88763889,-86.42930556
14962,34.80241667,-87.09022222
17467,31.55925,-86.85425
17468,31.92527778,-86.56611111
17469,31.29852778,-85.82780556
17470,31.83925,-86.65875
45776,34.21475,-87.638
45775,34.08866667,-87.62516667
45774,34.12263889,-87.55636111
45773,34.43541667,-88.14263889
45772,34.15408333,-87.39180556
45771,34.47091667,-86.80666667
17471,31.10147222,-85.67652778
17472,31.08377778,-86.16863889
17474,31.38208333,-86.63205556
17476,31.61136111,-85.79569444
17477,31.12197222,-85.52983333
17478,31.96422222,-86.31416667
17479,31.20361111,-86.44786111
17480,31.95847222,-86.0065
15256,32.19069444,-85.04752778
17481,31.70663889,-85.81391667
17482,31.85872222,-86.83447222
15251,32.35083333,-85.29666667
45770,33.95925,-86.47005556
45769,34.14430556,-86.50855556
45768,34.04730556,-87.89225
45767,34.11233333,-88.02447222
45766,34.21127778,-87.18944444
45765,33.95852778,-87.83819444
45764,34.20027778,-86.87611111
45763,34.42333333,-86.90055556
45762,34.61388889,-86.98833333
45761,34.62119444,-87.26336111
45760,34.51027778,-87.28333333
45759,34.5,-87.72138889
45758,34.40258333,-87.75336111
45757,34.53055556,-86.91027778
45756,34.44583333,-87.58277778
45755,34.58083333,-87.09638889
45754,34.29638889,-86.90055556
45753,34.23777778,-86.8475
45752,33.88666667,-86.85861111
10467,33.84875,-85.92088889
10466,33.90752778,-85.61694444
10465,33.62013889,-85.87319444
10464,33.68183333,-85.81588889
10199,34.27655556,-87.84836111
10198,33.94363889,-87.65055556
10197,33.92786111,-87.78355556
10196,34.01258333,-87.21522222
10194,34.27266667,-87.69947222
10193,34.119,-87.20136111
10192,34.21127778,-87.18947222
10191,34.08227778,-87.97561111
10190,34.22241667,-87.59133333
10189,34.15402778,-87.39169444
10177,33.91861111,-86.08305556
10176,34.12797222,-86.11761111
10175,34.06175,-85.92480556
10174,33.96416667,-85.79113889
10169,34.56794444,-85.91733333
10168,34.77780556,-85.66230556
10167,34.54927778,-86.14608333
10166,34.94072222,-85.65827778
10164,34.66763889,-86.34172222
10163,34.87616667,-85.78422222
10155,32.68597222,-87.50077778
10154,32.72122222,-87.58680556
10153,32.95961111,-88.23319444
10152,33.75538889,-88.18577778
10151,32.91152778,-87.63205556
10150,33.29358333,-87.85258333
10149,33.47019444,-88.24547222
10148,33.69236111,-87.72294444
10147,33.21863889,-88.09644444
10146,33.62513889,-87.66988889
10145,33.93077778,-88.07944444
10144,33.05127778,-88.26361111
10142,32.495,-88.31725
10141,32.66344444,-88.16808333
10125,33.82708333,-86.24541667
